member_id,checkin,checkout
100000,2020-04-27T20:50:08Z,2020-04-27T22:29:08Z
100001,2020-04-01T02:40:03Z,2020-04-01T03:18:03Z
100001,2020-04-01T16:01:10Z,2020-04-01T16:51:10Z
100001,2020-04-09T08:49:04Z,2020-04-09T09:19:04Z
100001,2020-04-09T20:07:06Z,2020-04-09T21:18:06Z
100001,2020-04-10T20:54:41Z,2020-04-10T22:41:41Z
100001,2020-04-11T06:11:12Z,2020-04-11T06:32:12Z
100001,2020-04-11T15:35:04Z,2020-04-11T15:55:04Z
100001,2020-04-13T10:15:24Z,2020-04-13T12:08:24Z
100001,2020-04-14T10:28:50Z,2020-04-14T12:22:50Z
100001,2020-04-16T03:23:20Z,2020-04-16T04:17:20Z
100001,2020-04-17T17:13:10Z,2020-04-17T17:47:10Z
100001,2020-04-19T08:36:56Z,2020-04-19T09:29:56Z
100001,2020-04-20T09:40:12Z,2020-04-20T10:37:12Z
100001,2020-04-25T11:59:02Z,2020-04-25T12:32:02Z
100002,2020-04-06T04:38:57Z,2020-04-06T05:53:57Z
100002,2020-04-08T22:16:53Z,2020-04-08T23:13:53Z
100002,2020-04-09T14:05:30Z,2020-04-09T15:07:30Z
100002,2020-04-09T15:07:07Z,2020-04-09T16:21:07Z
100002,2020-04-10T16:36:33Z,2020-04-10T18:36:33Z
100002,2020-04-11T20:36:16Z,2020-04-11T21:41:16Z
100002,2020-04-12T10:35:16Z,2020-04-12T12:17:16Z
100002,2020-04-13T22:13:38Z,2020-04-13T23:48:38Z
100002,2020-04-20T16:48:46Z,2020-04-20T17:46:46Z
100002,2020-04-22T23:53:50Z,2020-04-23T00:32:50Z
100002,2020-04-30T02:14:23Z,2020-04-30T03:27:23Z
100003,2020-04-01T14:48:36Z,2020-04-01T15:27:36Z
100003,2020-04-04T05:15:59Z,2020-04-04T06:14:59Z
100003,2020-04-05T04:10:08Z,2020-04-05T04:33:08Z
100003,2020-04-07T11:50:36Z,2020-04-07T12:17:36Z
100003,2020-04-21T10:35:11Z,2020-04-21T11:39:11Z
100003,2020-04-21T10:40:47Z,2020-04-21T12:21:47Z
100003,2020-04-23T11:37:40Z,2020-04-23T12:56:40Z
100003,2020-04-27T06:50:07Z,2020-04-27T08:01:07Z
100004,2020-04-01T10:42:47Z,2020-04-01T12:03:47Z
100004,2020-04-03T11:30:07Z,2020-04-03T13:21:07Z
100004,2020-04-10T15:37:31Z,2020-04-10T16:25:31Z
100004,2020-04-14T16:58:40Z,2020-04-14T17:28:40Z
100004,2020-04-18T03:42:59Z,2020-04-18T05:38:59Z
100004,2020-04-18T06:45:44Z,2020-04-18T07:08:44Z
100004,2020-04-22T14:44:09Z,2020-04-22T16:41:09Z
100004,2020-04-25T20:01:45Z,2020-04-25T21:43:45Z
100004,2020-04-28T05:50:37Z,2020-04-28T07:29:37Z
100005,2020-04-07T00:00:10Z,2020-04-07T01:45:10Z
100005,2020-04-07T11:57:00Z,2020-04-07T13:27:00Z
100005,2020-04-12T04:43:10Z,2020-04-12T05:23:10Z
100005,2020-04-17T09:39:24Z,2020-04-17T10:43:24Z
100005,2020-04-20T16:42:54Z,2020-04-20T17:21:54Z
100005,2020-04-21T07:35:35Z,2020-04-21T08:19:35Z
100005,2020-04-25T01:27:36Z,2020-04-25T02:20:36Z
100005,2020-04-26T17:42:53Z,2020-04-26T19:23:53Z
100005,2020-04-29T01:38:38Z,2020-04-29T02:17:38Z
100005,2020-04-29T23:40:38Z,2020-04-30T00:04:38Z
100006,2020-04-01T00:15:50Z,2020-04-01T01:52:50Z
100006,2020-04-01T05:41:02Z,2020-04-01T06:52:02Z
100006,2020-04-04T15:50:29Z,2020-04-04T17:09:29Z
